--- When using SR data, please cite us and provide a link and/or a mention.



,,,,,Totals,,,,,,,,,,,,,,,,Shooting,,,Per Game,,,,,,-additional
Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,-9999
13,Trevor Ariza,2011,2012,2,116,3950,471,1165,111,358,217,299,102,623,297,189,56,194,253,1270,.404,.310,.726,34.1,10.9,5.4,2.6,1.6,0.5,arizatr01
14,Darrell Armstrong,2004,2005,2,93,2659,344,895,152,499,142,165,79,274,376,148,18,183,178,982,.384,.305,.861,28.6,10.6,2.9,4.0,1.6,0.2,armstda01
15,Hilton Armstrong,2007,2010,4,209,2697,292,569,0,2,159,263,221,568,78,61,113,187,434,743,.513,.000,.605,12.9,3.6,2.7,0.4,0.3,0.5,armsthi01
16,Ömer Aşık,2015,2018,4,189,3763,355,688,0,0,219,388,419,1362,115,56,89,174,333,929,.516,,.564,19.9,4.9,7.2,0.6,0.3,0.5,asikom01
17,Stacey Augmon,2003,2004,2,139,2278,222,539,1,14,164,211,78,293,154,82,24,116,194,609,.412,.071,.777,16.4,4.4,2.1,1.1,0.6,0.2,augmost01
18,Gustavo Ayón,2012,2012,1,54,1088,140,261,0,1,39,63,86,265,74,53,46,46,118,319,.536,.000,.619,20.1,5.9,4.9,1.4,1.0,0.9,ayongu01
19,Luke Babbitt,2014,2016,3,137,2148,274,635,139,319,66,87,55,347,106,35,29,64,205,753,.431,.436,.759,15.7,5.5,2.5,0.8,0.3,0.2,babbilu01
20,Lonzo Ball,2020,2021,2,118,3772,567,1387,320,850,93,140,104,646,754,170,69,316,231,1547,.409,.376,.664,32.0,13.1,5.5,6.4,1.4,0.6,balllo01
21,Brandon Bass,2006,2007,2,50,430,43,114,0,1,24,35,31,111,6,5,10,21,34,110,.377,.000,.686,8.6,2.2,2.2,0.1,0.1,0.2,bassbr01
22,Lonny Baxter,2005,2005,1,4,36,3,11,0,0,0,2,4,8,0,0,0,4,10,6,.273,,.000,9.0,1.5,2.0,0.0,0.0,0.0,baxtelo01
23,Jerryd Bayless,2011,2011,1,11,149,17,49,3,14,13,17,2,15,28,2,1,17,16,50,.347,.214,.765,13.5,4.5,1.4,2.5,0.2,0.1,bayleje01
24,Marco Belinelli,2011,2012,2,146,3923,588,1377,241,608,199,254,36,323,193,86,11,146,261,1616,.427,.396,.783,26.9,11.1,2.2,1.3,0.6,0.1,belinma01
25,Dairis Bertāns,2019,2019,1,12,167,12,47,10,34,0,0,2,9,10,1,0,2,7,34,.255,.294,,13.9,2.8,0.8,0.8,0.1,0.0,bertada02
26,Eric Bledsoe,2021,2021,1,71,2111,307,730,121,355,134,195,29,244,268,55,24,114,112,869,.421,.341,.687,29.7,12.2,3.4,3.8,0.8,0.3,bledser01
27,Ryan Bowen,2008,2009,2,74,879,71,138,0,1,19,34,65,124,34,46,16,20,114,161,.514,.000,.559,11.9,2.2,1.7,0.5,0.6,0.2,bowenry01
28,Izaiah Brockington,2024,2024,1,1,3,2,5,0,1,0,0,1,2,0,0,0,0,0,4,.400,.000,,3.0,4.0,2.0,0.0,0.0,0.0,brockiz01
29,Anthony Brown,2017,2017,1,9,143,14,41,6,24,0,0,6,26,6,5,1,5,13,34,.341,.250,,15.9,3.8,2.9,0.7,0.6,0.1,brownan02
30,Bobby Brown,2010,2010,1,22,328,60,152,17,66,8,8,1,18,46,9,1,24,28,145,.395,.258,1.000,14.9,6.6,0.8,2.1,0.4,0.0,brownbo02
31,Devin Brown,2007,2010,3,160,3498,472,1193,163,471,270,341,113,479,261,106,19,202,282,1377,.396,.346,.792,21.9,8.6,3.0,1.6,0.7,0.1,brownde02
32,P.J. Brown,2003,2006,4,315,10559,1265,2654,0,4,701,828,928,2675,570,265,253,390,855,3231,.477,.000,.847,33.5,10.3,8.5,1.8,0.8,0.8,brownpj01
33,Tierre Brown,2004,2004,1,3,17,2,4,0,0,2,4,0,1,2,0,0,7,1,6,.500,,.500,5.7,2.0,0.3,0.7,0.0,0.0,brownti01
34,Rasual Butler,2006,2009,4,293,7587,1010,2484,410,1097,247,342,158,859,214,139,181,201,515,2677,.407,.374,.722,25.9,9.1,2.9,0.7,0.5,0.6,butlera01
35,Elden Campbell,2003,2003,1,41,685,101,247,0,1,93,115,34,142,42,24,31,42,102,295,.409,.000,.809,16.7,7.2,3.5,1.0,0.6,0.8,campbel01
36,Maurice Carter,2004,2004,1,6,60,6,21,3,8,5,8,2,8,2,0,0,3,5,20,.286,.375,.625,10.0,3.3,1.3,0.3,0.0,0.0,cartema01
37,Omri Casspi,2017,2017,1,1,24,5,9,2,4,0,0,1,2,0,0,0,2,3,12,.556,.500,,24.0,12.0,2.0,0.0,0.0,0.0,casspom01
38,Tyson Chandler,2007,2009,3,197,6753,829,1356,0,2,358,629,805,2225,169,97,269,332,631,2016,.611,.000,.569,34.3,10.2,11.3,0.9,0.5,1.4,chandty01
39,Zylan Cheatham,2020,2020,1,4,51,6,9,0,1,0,0,3,9,3,1,1,4,10,12,.667,.000,,12.8,3.0,2.3,0.8,0.3,0.3,cheatzy01
40,Josh Childress,2014,2014,1,4,24,0,0,0,0,0,0,0,3,2,1,0,1,1,0,,,,6.0,0.0,0.8,0.5,0.3,0.0,childjo01
41,Gary Clark,2022,2022,1,38,378,33,88,28,70,7,10,23,90,18,13,7,10,20,101,.375,.400,.700,9.9,2.7,2.4,0.5,0.3,0.2,clarkga01
42,Ian Clark,2018,2019,2,134,2428,373,878,128,397,78,96,23,216,204,55,18,115,215,952,.425,.322,.813,18.1,7.1,1.6,1.5,0.4,0.1,clarkia01
43,Speedy Claxton,2005,2006,2,87,2384,345,846,18,72,271,361,44,224,427,130,8,181,207,979,.408,.250,.751,27.4,11.3,2.6,4.9,1.5,0.1,claxtsp01
44,Norris Cole,2015,2016,2,73,1881,308,736,61,176,78,100,11,202,257,52,12,116,151,755,.418,.347,.780,25.8,10.3,2.8,3.5,0.7,0.2,coleno01
45,Darren Collison,2010,2010,1,76,2109,376,789,46,115,148,174,41,192,432,78,4,202,92,946,.477,.400,.851,27.8,12.4,2.5,5.7,1.0,0.1,collida01
46,Quinn Cook,2017,2017,1,9,111,22,41,6,12,2,3,1,4,14,3,0,5,7,52,.537,.500,.667,12.3,5.8,0.4,1.6,0.3,0.0,cookqu01
47,Charles Cooke,2018,2018,1,13,38,2,14,1,8,1,2,0,2,1,1,0,1,0,6,.143,.125,.500,2.9,0.5,0.2,0.1,0.1,0.0,cookech01
48,DeMarcus Cousins,2017,2018,2,65,2311,548,1178,140,390,388,515,142,828,323,104,95,304,258,1624,.465,.359,.753,35.6,25.0,12.7,5.0,1.6,1.5,couside01
49,Jordan Crawford,2017,2018,2,24,495,117,245,45,109,21,27,6,38,70,12,3,30,37,300,.478,.413,.778,20.6,12.5,1.6,2.9,0.5,0.1,crawfjo02
50,Jalen Crutcher,2024,2024,1,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,.000,,,3.0,0.0,0.0,0.0,0.0,0.0,crutcja01
51,Dante Cunningham,2015,2018,4,263,6387,614,1335,162,473,122,192,233,962,190,154,114,120,449,1512,.460,.342,.635,24.3,5.7,3.7,0.7,0.6,0.4,cunnida01
52,Antonio Daniels,2009,2009,1,61,733,81,191,17,49,55,67,5,55,130,19,1,49,41,234,.424,.347,.821,12.0,3.8,0.9,2.1,0.3,0.0,daniean01
53,Dyson Daniels,2023,2024,2,120,2400,226,519,69,221,60,93,98,424,298,128,36,116,200,581,.435,.312,.645,20.0,4.8,3.5,2.5,1.1,0.3,daniedy01
54,Anthony Davis,2013,2019,7,466,16108,4153,8030,181,576,2572,3234,1208,4906,982,639,1121,869,1106,11059,.517,.314,.795,34.6,23.7,10.5,2.1,1.4,2.4,davisan02
55,Baron Davis,2003,2005,3,135,5168,997,2503,330,1002,404,579,138,540,950,280,53,393,378,2728,.398,.329,.698,38.3,20.2,4.0,7.0,2.1,0.4,davisba01
56,Bryce Dejean-Jones,2016,2016,1,14,279,28,69,12,32,11,21,8,48,15,10,2,11,17,79,.406,.375,.524,19.9,5.6,3.4,1.1,0.7,0.1,dejeabr01
57,Cheick Diallo,2017,2019,3,133,1676,306,523,1,4,115,154,145,616,56,44,61,84,212,728,.585,.250,.747,12.6,5.5,4.6,0.4,0.3,0.5,diallch01
58,Dan Dickau,2005,2005,1,67,2074,305,748,84,242,188,225,34,179,346,76,4,144,200,882,.408,.347,.836,31.0,13.2,2.7,5.2,1.1,0.1,dickada01
59,Toney Douglas,2015,2016,2,73,1439,202,496,86,221,92,112,27,165,181,81,9,74,151,582,.407,.389,.821,19.7,8.0,2.3,2.5,1.1,0.1,douglto01
60,Bryce Drew,2003,2004,2,28,157,12,45,4,14,3,3,4,19,24,6,0,11,3,31,.267,.286,1.000,5.6,1.1,0.7,0.9,0.2,0.0,drewbr01
61,Larry Drew II,2018,2018,1,7,55,6,17,3,6,0,0,2,2,8,0,0,2,4,15,.353,.500,,7.9,2.1,0.3,1.1,0.0,0.0,drewla02
62,Jerome Dyson,2012,2012,1,9,180,19,48,1,8,28,36,2,19,18,11,2,20,19,67,.396,.125,.778,20.0,7.4,2.1,2.0,1.2,0.2,dysonje01
